FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-2.8998,-1.8973,-1.8506,-2.2444,-2.4283,-2.1848,-1.8058,-0.7866,-0.7695,-1.2085,-0.3188,-0.0432,-2.2738,-2.7769,-2.2725,-1.6644,-2.5059,-1.667,-2.5498,-2.8892,-3.1519,-2.6488,-2.4479,-2.1227,-1.3469,-0.8365,-1.312,-1.6825,-1.0033,-0.1042
-3.0183,-1.9593,-1.9396,-2.2897,-2.3987,-2.2048,-1.7075,-0.7494,-0.7588,-1.1018,-0.2437,-0.1148,-2.2058,-2.7154,-2.3856,-1.6811,-2.6073,-1.8465,-2.618,-2.9255,-3.1427,-2.63,-2.4425,-1.986,-1.1882,-0.605,-1.0956,-1.6544,-1.0683,-0.2038
-3.1159,-2.0066,-2.0207,-2.3073,-2.297,-2.1551,-1.5241,-0.6591,-0.6641,-0.9102,-0.1265,-0.211,-2.0832,-2.5944,-2.4814,-1.6894,-2.6947,-2.0076,-2.6648,-2.9319,-3.0861,-2.6039,-2.421,-1.8215,-0.9999,-0.3722,-0.866,-1.66,-1.1475,-0.3421
-3.1995,-2.0522,-2.101,-2.3088,-2.1401,-2.0467,-1.2755,-0.5228,-0.4945,-0.6552,0.0236,-0.322,-1.9189,-2.4336,-2.5666,-1.7086,-2.777,-2.1468,-2.7062,-2.9264,-3.0002,-2.5936,-2.398,-1.6489,-0.7959,-0.1555,-0.6457,-1.7036,-1.2442,-0.508
-3.2722,-2.1044,-2.1827,-2.3042,-1.9507,-1.8953,-0.9913,-0.3499,-0.2668,-0.3666,0.1903,-0.4391,-1.7351,-2.2582,-2.6452,-1.7519,-2.86,-2.2603,-2.7546,-2.9252,-2.9048,-2.615,-2.3834,-1.4899,-0.5893,0.0308,-0.4581,-1.7871,-1.3584,-0.6849
-3.3335,-2.1651,-2.2634,-2.3,-1.7555,-1.7199,-0.7078,-0.1514,-0.0035,-0.0789,0.3524,-0.557,-1.5621,-2.0969,-2.718,-1.824,-2.9455,-2.3442,-2.8166,-2.9406,-2.8207,-2.6758,-2.3815,-1.3655,-0.3905,0.1773,-0.3244,-1.9105,-1.4867,-0.8547
-3.3808,-2.2307,-2.3376,-2.3,-1.5818,-1.5404,-0.4631,0.0613,0.2712,0.1742,0.4874,-0.6747,-1.435,-1.979,-2.7835,-1.9218,-3.0322,-2.3961,-2.8933,-2.9803,-2.768,-2.7753,-2.3928,-1.2935,-0.2064,0.282,-0.2605,-2.072,-1.6228,-1.0017
-3.4137,-2.296,-2.4005,-2.3068,-1.455,-1.3771,-0.2913,0.2765,0.5356,0.3651,0.5765,-0.7958,-1.3881,-1.9316,-2.8406,-2.0374,-3.1185,-2.4175,-2.9822,-3.0487,-2.7659,-2.9077,-2.4159,-1.2853,-0.0396,0.3516,-0.2731,-2.2668,-1.7597,-1.1168
-3.4378,-2.3592,-2.4519,-2.3249,-1.3957,-1.2492,-0.2167,0.4834,0.7748,0.4778,0.6091,-0.9262,-1.4491,-1.9769,-2.892,-2.1633,-3.2059,-2.4179,-3.0814,-3.1489,-2.8313,-3.0656,-2.451,-1.3442,0.1121,0.4023,-0.3576,-2.4861,-1.8926,-1.1996
-3.4676,-2.4256,-2.498,-2.3627,-1.4184,-1.1737,-0.2495,0.6731,0.9837,0.5101,0.586,-1.0716,-1.633,-2.1292,-2.9472,-2.2973,-3.3022,-2.4161,-3.1928,-3.2855,-2.9781,-3.2437,-2.5018,-1.4641,0.2547,0.4585,-0.497,-2.7159,-2.0205,-1.2592
